District code,State name,District name,Population Total,Literacy rate,name,Place,Coordinates,Area,Population
568,KARNATAKA,Shimoga,1752753,0.720589838,"Shimoga, KARNATAKA","Shimoga, KA, India","13.932999610900879, 75.56700134277344",10066,174.126068
569,KARNATAKA,Udupi,1177361,0.786869108,"Udupi, KARNATAKA","Udipi, KA, India","13.343725204467773, 74.74664306640625",6091,193.2951896
570,KARNATAKA,Chikmagalur,1137961,0.71913273,"Chikmagalur, KARNATAKA","Chikkamagaluru, KA, India","13.314385414123535, 75.77546691894531",7202,158.0062483
571,KARNATAKA,Tumkur,2678980,0.676896057,"Tumkur, KARNATAKA","Tumkur, KA, India","13.34000015258789, 77.0999984741211",11724,228.5039236
572,KARNATAKA,Bangalore,9621551,0.780775989,"Bangalore, KARNATAKA","Bengaluru, KA, India","12.982999801635742, 77.58300018310547",2298,4186.923847
573,KARNATAKA,Mandya,1805769,0.636653415,"Mandya, KARNATAKA","Mandya, KA, India","12.52758502960205, 76.89466857910156",3340,540.6494012
574,KARNATAKA,Hassan,1776421,0.689732896,"Hassan, KARNATAKA","Hassan, KA, India","12.982400894165039, 76.11368560791016",6814,260.7016437
575,KARNATAKA,Dakshina Kannada,2089649,0.797417652,"Dakshina Kannada, KARNATAKA","Puttur, KA, India","12.76878547668457, 75.20468139648438",4861,429.8804773
576,KARNATAKA,Kodagu,554519,0.744567815,"Kodagu, KARNATAKA","Madikeri, KA, India","12.43047046661377, 75.7361068725586",2540,218.3145669
577,KARNATAKA,Mysore,3001127,0.653814384,"Mysore, KARNATAKA","Mysore, KA, India","12.308438301086426, 76.6539306640625",3927,764.2289279
578,KARNATAKA,Chamarajanagar,1020791,0.553765658,"Chamarajanagar, KARNATAKA","Chamrajnagar, KA, India","11.933799743652344, 76.93409729003906",5648,180.7349504
579,KARNATAKA,Gulbarga,2566326,0.556191224,"Gulbarga, KARNATAKA","Gulbarga, KA, India","17.329513549804688, 76.83580017089844",10954,234.2820887
580,KARNATAKA,Yadgir,1174271,0.434314566,"Yadgir, KARNATAKA","Yadgir, KA, India","16.744600296020508, 77.12969970703125",5270,222.8218216
581,KARNATAKA,Kolar,1536401,0.661428234,"Kolar, KARNATAKA","Kolar, KA, India","13.12845230102539, 78.13337707519531",1382,1111.722865
582,KARNATAKA,Chikkaballapura,1255104,0.624029562,"Chikkaballapura, KARNATAKA","Chikkaballapur, KA, India","13.43120002746582, 77.73259735107422",4244,295.736098
583,KARNATAKA,Bangalore Rural,990923,0.695058042,"Bangalore Rural, KARNATAKA","KA, India","14.710270881652832, 76.16768646240234",3020,328.1201987
584,KARNATAKA,Ramanagara,1082636,0.623254723,"Ramanagara, KARNATAKA","Ramanagar, KA, India","12.720100402832031, 77.28340148925781",3516,307.9169511
585,GOA,North Goa,818008,0.81057887,"North Goa, GOA","North Goa, GA, India","15.495638847351074, 73.9782943725586",1736,471.202765
586,GOA,South Goa,640537,0.78438404,"South Goa, GOA","Marmagao, GA, India","15.39252758026123, 73.89791870117188",3057,209.5312398
587,LAKSHADWEEP,Lakshadweep,64473,0.815116405,"Lakshadweep, LAKSHADWEEP","LD, India","11.273329734802246, 74.04582214355469",5039,12.79480056
588,KERALA,Kasaragod,1307375,0.793568792,"Kasaragod, KERALA","Kasaragod, KL, India","12.499699592590332, 74.98699951171875",2904,450.1980028
589,KERALA,Kannur,2523003,0.847574894,"Kannur, KERALA","Cannanore, KL, India","11.8607759475708, 75.41400146484375",1684,1498.220309
590,KERALA,Wayanad,817420,0.78978371,"Wayanad, KERALA","KL, India","11.714387893676758, 76.09632110595703",130,6287.846154
591,KERALA,Kozhikode,3086293,0.847438335,"Kozhikode, KERALA","Kozhikode, KL, India","11.25879955291748, 75.78074645996094",8727,353.6487911
592,KERALA,Malappuram,4112920,0.805100756,"Malappuram, KERALA","Malappuram, KL, India","11.041600227355957, 76.07969665527344",5791,710.2262131
593,KERALA,Palakkad,2809934,0.796990961,"Palakkad, KERALA","Palghat, KL, India","10.800100326538086, 76.63909912109375",4482,626.9375279
594,KERALA,Thrissur,3121200,0.858178906,"Thrissur, KERALA","Thrissur, KL, India","10.523903846740723, 76.2122573852539",5048,618.3042789
595,KERALA,Ernakulam,3282388,0.869999525,"Ernakulam, KERALA","Kanayannur, KL, India","9.972270011901855, 76.28500366210938",3063,1071.625204
596,KERALA,Idukki,1108974,0.832309865,"Idukki, KERALA","Idukki, KL, India","9.850000381469727, 76.9666976928711",217,5110.479263
597,KERALA,Kottayam,1974551,0.886175136,"Kottayam, KERALA","Kottayam, KL, India","9.591753959655762, 76.53190612792969",2345,842.0260128
598,KERALA,Alappuzha,2127789,0.870761622,"Alappuzha, KERALA","Alleppey, KL, India","9.37444019317627, 76.36580657958984",1415,1503.737809
599,KERALA,Pathanamthitta,1197412,0.887374605,"Pathanamthitta, KERALA","Pathanamthitta, KL, India","9.265603065490723, 76.78529357910156",2652,451.5128205
600,KERALA,Kollam,2635375,0.850077503,"Kollam, KERALA","Quilon, KL, India","8.8869047164917, 76.59046173095703",5570,473.1373429
601,KERALA,Thiruvananthapuram,3301427,0.843698195,"Thiruvananthapuram, KERALA","Trivandrum, KL, India","8.530240058898926, 76.9291000366211",2274,1451.814864
602,TAMIL NADU,Thiruvallur,3728104,0.748831309,"Thiruvallur, TAMIL NADU","Tiruvallur, TN, India","13.142919540405273, 79.90753173828125",2189,1703.108269
603,TAMIL NADU,Chennai,4646732,0.812673509,"Chennai, TAMIL NADU","Chennai, TN, India","13.011754989624023, 80.22148132324219",175,26552.75429
604,TAMIL NADU,Kancheepuram,3998252,0.753674856,"Kancheepuram, TAMIL NADU","Kanchipuram, TN, India","12.836136817932129, 79.70664978027344",955,4186.651309
605,TAMIL NADU,Vellore,3936331,0.704698868,"Vellore, TAMIL NADU","Vellore, TN, India","12.921469688415527, 79.13156127929688",7371,534.0294397
606,TAMIL NADU,Tiruvannamalai,2464875,0.659998174,"Tiruvannamalai, TAMIL NADU","Tiruvannamalai, TN, India","12.235238075256348, 79.078369140625",7194,342.6292744
607,TAMIL NADU,Viluppuram,3458873,0.634824118,"Viluppuram, TAMIL NADU","Villupuram, TN, India","11.944734573364258, 79.47346496582031",4241,815.5795803
608,TAMIL NADU,Salem,3482056,0.656382896,"Salem, TAMIL NADU","Salem, TN, India","11.652121543884277, 78.15797424316406",5237,664.895169
609,TAMIL NADU,Namakkal,1726601,0.681182856,"Namakkal, TAMIL NADU","Namakkal, TN, India","11.218785285949707, 78.16797637939453",5955,289.9413938
610,TAMIL NADU,Erode,2251744,0.662891519,"Erode, TAMIL NADU","Erode, TN, India","11.334826469421387, 77.72727966308594",5760,390.9277778
611,TAMIL NADU,The Nilgiris,735394,0.774614696,"The Nilgiris, TAMIL NADU","TN, India","11.455718994140625, 76.64025115966797",2868,256.4135286
612,TAMIL NADU,Dindigul,2159775,0.686105729,"Dindigul, TAMIL NADU","Dindigul, TN, India","10.36325740814209, 77.98249053955078",7470,289.126506
613,TAMIL NADU,Karur,1064493,0.682995567,"Karur, TAMIL NADU","Karur, TN, India","10.959576606750488, 78.08194732666016",2520,422.4178571
614,TAMIL NADU,Tiruchirappalli,2722290,0.74899478,"Tiruchirappalli, TAMIL NADU","Tiruchirappalli, TN, India","10.800823211669922, 78.6899185180664",6693,406.7368893
615,TAMIL NADU,Perambalur,565223,0.664911017,"Perambalur, TAMIL NADU","Perambalur, TN, India","11.234099388122559, 78.88050079345703",1756,321.8809795
616,TAMIL NADU,Ariyalur,754894,0.636650974,"Ariyalur, TAMIL NADU","Ariyalur, TN, India","11.15210247039795, 79.06939697265625",1940,389.1206186
617,TAMIL NADU,Cuddalore,2605914,0.696600502,"Cuddalore, TAMIL NADU","Cuddalore, TN, India","11.756638526916504, 79.76290130615234",3703,703.7304888
618,TAMIL NADU,Nagapattinam,1616450,0.750414798,"Nagapattinam, TAMIL NADU","Nagappattinam, TN, India","10.773176193237305, 79.84144592285156",9892,163.4098261
619,TAMIL NADU,Thiruvarur,1264277,0.74862629,"Thiruvarur, TAMIL NADU","Thiruvarur, TN, India","10.765084266662598, 79.63356018066406",4745,266.4440464
620,TAMIL NADU,Thanjavur,2405890,0.74442223,"Thanjavur, TAMIL NADU","Thanjavur, TN, India","10.783599853515625, 79.13360595703125",1766,1362.338618
621,TAMIL NADU,Pudukkottai,1618345,0.686222653,"Pudukkottai, TAMIL NADU","Pudukkottai, TN, India","10.382895469665527, 78.81549835205078",294,5504.57483
622,TAMIL NADU,Sivaganga,1339101,0.716707702,"Sivaganga, TAMIL NADU","Sivaganga, TN, India","9.854975700378418, 78.50050354003906",2668,501.911919
623,TAMIL NADU,Madurai,3038252,0.748269071,"Madurai, TAMIL NADU","Madurai, TN, India","9.92012882232666, 78.11087799072266",4790,634.2906054
624,TAMIL NADU,Theni,1245899,0.698355164,"Theni, TAMIL NADU","Theni, TN, India","10.006566047668457, 77.47931671142578",3394,367.0886859
625,TAMIL NADU,Virudhunagar,1942288,0.720175381,"Virudhunagar, TAMIL NADU","Virudhunagar, TN, India","9.593749046325684, 77.9574966430664",11161,174.0245498
626,TAMIL NADU,Ramanathapuram,1353445,0.723299432,"Ramanathapuram, TAMIL NADU","Ramanathapuram, TN, India","9.35886001586914, 78.83747100830078",4104,329.7867934
627,TAMIL NADU,Thoothukkudi,1750176,0.77117787,"Thoothukkudi, TAMIL NADU","Thoothukudi, TN, India","8.792988777160645, 78.14242553710938",514,3405.011673
